direction,streetname1,streetname2,point_latitude,point_longitude
SW,MANHATTAN AV,KENT ST,40.730701,-73.954559
N,LORIMER ST,MESEROLE AV,40.727005,-73.953476
SW,MANHATTAN AV,DUPONT ST,40.735714,-73.95533
E,MANHATTAN AV,CALYER ST,40.728062,-73.953026
SE,MANHATTAN AV,DUPONT ST,40.735752,-73.954933
NE,MANHATTAN AV,GREENPOINT AV,40.730343,-73.954063
S,N 11 ST,DRIGGS AV,40.719036,-73.953987
SE,FRANKLIN ST,INDIA ST,40.731888,-73.957726
E,BEDFORD AV,N 11 ST,40.720058,-73.955093
SE,MANHATTAN AV,CLAY ST,40.736443,-73.955093
SE,MANHATTAN AV,KENT ST,40.730747,-73.954155
N,BEDFORD AV,N 10 ST,40.719677,-73.955978
W,MANHATTAN AV,MESEROLE AV,40.727158,-73.952919
NW,MANHATTAN AV,MILTON ST,40.72958,-73.954338
W,MANHATTAN AV,NASSAU AV,40.723827,-73.950989
NE,MANHATTAN AV,GREEN ST,40.733883,-73.954666
NE,MANHATTAN AVE,HURON ST,40.733196,-73.954559
S,WYTHE AV,N 11 ST,40.721581,-73.958031
SE,FRANKLIN ST,MILTON ST,40.729042,-73.95726
E,KENT AV,N 9 ST,40.721432,-73.960236
NW,MANHATTAN AVE,JAVA ST,40.731743,-73.95472
W,NORMAN AV,MANHATTAN AV,40.725525,-73.951988
NW,MANHATTAN AV,FREEMAN ST,40.734585,-73.955185
W,MANHATTAN AV,BEDFORD AV,40.72411,-73.951202
NE,MANHATTAN AV,BOX ST,40.737473,-73.955208
NW,GREENPOINT AV,FRANKLIN ST,40.73003,-73.957787
E,MESEROLE AV,LORIMER ST,40.726768,-73.953354
NE,FRANKLIN ST,HURON ST,40.732876,-73.957878
E,N 9 ST,BEDFORD AV,40.718979,-73.956184
SE,MANHATTAN AV,FREEMAN ST,40.734341,-73.95472
SE,MANHATTAN AVE,GREEN ST,40.733631,-73.954628
SW,MANHATTAN AV,CLAY ST,40.736416,-73.955467
NE,FRANKLIN ST,NOBLE ST,40.728622,-73.957176
W,MANHATTAN AV,CALYER ST,40.728165,-73.953629
SW,MANHATTAN AV,JAVA ST,40.731434,-73.954674
SW,MANHATTAN AV,NOBLE ST,40.728645,-73.953857
S,N 10 ST,BEDFORD AV,40.719284,-73.955894
NW,MANHATTAN AVE,INDIA ST,40.732452,-73.954811
S,BEDFORD AV,N 12 ST,40.720402,-73.954712
SE,MANHATTAN AVE,HURON ST,40.732906,-73.954498
NW,MANHATTAN AV,KENT ST,40.731022,-73.95459
NE,MANHATTAN AV,EAGLE ST,40.735325,-73.954895
SE,MANHATTAN AV,JAVA ST,40.731468,-73.954269
SW,GREENPOINT AV,FRANKLIN ST,40.729694,-73.957741
SW,MANHATTAN AV,BOX ST,40.737118,-73.955612
SE,FRANKLIN ST,GREEN ST,40.733295,-73.957977
S,MANHATTAN AV,NASSAU AV,40.723568,-73.950882
NE,MANHATTAN AV,KENT ST,40.731049,-73.954201
NW,GREENPOINT AV,MANHATTAN AV,40.730316,-73.954437
E,N 9 ST,DRIGGS AV,40.718159,-73.954971
NE,FRANKLIN ST,KENT ST,40.730755,-73.95752
W,N 11 ST,BEDFORD AV,40.720009,-73.955605
NW,MANHATTAN AV,CLAY ST,40.736698,-73.955528
NE,MANHATTAN AVE,INDIA ST,40.732479,-73.954437
N,MANHATTAN AV,CALYER ST,40.728333,-73.953064
NW,MANHATTAN AV,DUPONT ST,40.735989,-73.955376
SW,MANHATTAN AVE,GREEN ST,40.733566,-73.954987
W,N 10 ST,BEDFORD AV,40.719467,-73.956215
SW,MANHATTAN AVE,INDIA ST,40.732132,-73.954788
SW,MANHATTAN AV,FREEMAN ST,40.734299,-73.955124
NE,FRANKLIN ST,OAK ST,40.727932,-73.957039
SW,MANHATTAN AVE,HURON ST,40.732899,-73.954895
S,MANHATTAN AV,NORMAN AV,40.725254,-73.951836
SE,GREENPOINT AV,MANHATTAN AV,40.730064,-73.953972
NW,MANHATTAN AV,GREEN ST,40.733849,-73.955048
N,BEDFORD AV,N 11 ST,40.720257,-73.955338
NW,NORMAN AV,MC GUINNESS BLVD,40.726357,-73.949486
NW,MANHATTAN AV,EAGLE ST,40.735283,-73.955284
S,N 11 ST,BEDFORD AV,40.719849,-73.955315
NE,MANHATTAN AV,DUPONT ST,40.736015,-73.955017
S,MANHATTAN AV,MESEROLE AV,40.72694,-73.952759
SW,MANHATTAN AV,EAGLE ST,40.735008,-73.955223
N,NORMAN AV,MANHATTAN AV,40.725636,-73.951622
NE,FRANKLIN ST,FREEMAN ST,40.734295,-73.958115
E,MANHATTAN AV,MESEROLE AV,40.727009,-73.952446
NE,MANHATTAN AV,FREEMAN ST,40.734585,-73.954781
SW,GREENPOINT AV,MANHATTAN AV,40.730015,-73.954353
W,DRIGGS AV,N 11 ST,40.71925,-73.954315
SW,MANHATTAN AV,MILTON ST,40.729336,-73.954178
SE,FRANKLIN ST,JAVA ST,40.731174,-73.957603
E,BEDFORD AV,N 10 ST,40.71949,-73.955696
W,N 12 ST,BEDFORD AV,40.720581,-73.955017
N,BEDFORD AV,N 9 ST,40.719131,-73.956543
N,MANHATTAN AV,MESEROLE AV,40.727261,-73.952614
NW,MANHATTAN AVE,HURON ST,40.733158,-73.954926
NE,MANHATTAN AV,CLAY ST,40.736717,-73.955147
NE,MANHATTAN AVE,JAVA ST,40.731766,-73.9543
SE,MANHATTAN AV,EAGLE ST,40.735031,-73.954811
S,MANHATTAN AV,CALYER ST,40.727921,-73.953468
SE,MANHATTAN AVE,INDIA ST,40.732147,-73.954346
S,N 7 ST,BEDFORD AV,40.717625,-73.957687
N,BEDFORD AV,S 2 ST,40.713413,-73.962158
W,DRIGGS AV,N 6 ST,40.716446,-73.957291
E,METROPOLITAN AV,DRIGGS AV,40.714897,-73.958504
S,DRIGGS AV,N 7 ST,40.71677,-73.956268
S,KENT AV,N 8 ST,40.720665,-73.96109
S,N 5 ST,BEDFORD AV,40.716534,-73.958885
NE,BROADWAY,DRIGGS AV,40.710011,-73.962105
SE,WYTHE AV,S 6 ST,40.711136,-73.966278
W,KENT AV,N 6 ST,40.719734,-73.962593
NW,S 4 ST,HAVEMEYER ST,40.710472,-73.958481
E,BEDFORD AV,N 6 ST,40.717297,-73.958069
W,HOPE ST,HAVEMEYER ST,40.713249,-73.956703
N,N 7 ST,DRIGGS AV,40.717197,-73.956467
N,GRAND ST,BEDFORD AV,40.714684,-73.961395
W,N 8 ST,BEDFORD AV,40.718361,-73.957344
E,BEDFORD AV,N 8 ST,40.718384,-73.956886
SE,KENT AV,S 3 ST,40.713787,-73.967033
NE,GRAND ST,GRAND ST,40.711056,-73.95179
W,GRAND ST,DRIGGS AV,40.713886,-73.96019
E,GRAND ST,BEDFORD AV,40.714542,-73.961014
SW,METROPOLITAN AV,UNION AV,40.713947,-73.951767
S,DRIGGS AV,N 6 ST,40.716278,-73.956985
SW,METROPOLITAN AV,LORIMER ST,40.713913,-73.949493
W,BEDFORD AV,N 9 ST,40.718925,-73.956757
E,BROADWAY,HAVEMEYER ST,40.70895,-73.959
SW,WYTHE AV,S 3 ST,40.713383,-73.965729
S,BERRY ST,N 8 ST,40.719013,-73.958397
S,METROPOLITAN AV,BEDFORD AV,40.715149,-73.960373
N,KENT AV,N 6 ST,40.71994,-73.962318
S,S 4 ST,BEDFORD AV,40.711731,-73.962868
E,BROADWAY,KEAP ST,40.707592,-73.955177
W,BEDFORD AV,S 1 ST,40.713852,-73.961891
N,BEDFORD AV,N 4 ST,40.716347,-73.959549
E,BEDFORD AV,S 1 ST,40.713951,-73.961456
NE,GRAND ST,UNION AV,40.711128,-73.95092
E,S 4 ST,BEDFORD AV,40.711948,-73.962715
NE,BORINQUEN PL,HAVEMEYER ST,40.710499,-73.958031
NE,BROADWAY,WYTHE AV,40.710716,-73.966377
W,BERRY ST,N 3 ST,40.716301,-73.961731
W,N 9 ST,DRIGGS AV,40.718143,-73.955521
N,S 4 ST,BEDFORD AV,40.712067,-73.963036
W,N 5 ST,BEDFORD AV,40.716682,-73.959145
N,BERRY ST,N 6 ST,40.718349,-73.959549
N,N 5 ST,BEDFORD AV,40.716881,-73.958946
W,KENT AV,N 7 ST,40.720299,-73.961983
S,GRAND ST,DRIGGS AV,40.713676,-73.959625
N,BEDFORD AV,N 7 ST,40.718025,-73.957741
S,S 2 ST,BEDFORD AV,40.713078,-73.96199
NW,GRAND ST,UNION AV,40.711075,-73.951294
W,BEDFORD AV,S 3 ST,40.712456,-73.962753
N,KENT AV,N 3 ST,40.718273,-73.964157
E,KENT AV,N 7 ST,40.720318,-73.961418
E,BEDFORD AV,N 7 ST,40.717846,-73.957481
S,N 6 ST,BEDFORD AV,40.717094,-73.958298
NE,BROADWAY,BEDFORD AV,40.710571,-73.9636
N,BEDFORD AV,S 1 ST,40.71405,-73.961754
SW,LORIMER ST,MAUJER ST,40.710236,-73.948952
E,BROADWAY,HOOPER ST,40.707108,-73.953751
N,GRAND ST,ROEBLING ST,40.713493,-73.958435
E,BEDFORD AV,N 5 ST,40.716736,-73.958679
N,BERRY ST,N 3 ST,40.716629,-73.961372
E,DRIGGS AV,N 6 ST,40.716492,-73.956779
W,KENT AV,N 5 ST,40.719196,-73.963142
N,KENT AV,N 5 ST,40.719398,-73.962914
SE,UNION AV,GRAND ST,40.710819,-73.950882
N,N 8 ST,BEDFORD AV,40.718571,-73.957138
E,N 4 ST,BEDFORD AV,40.716179,-73.959282
S,BERRY ST,N 6 ST,40.717804,-73.959694
W,METROPOLITAN AV,BEDFORD AV,40.715279,-73.960686
W,BEDFORD AV,N 6 ST,40.717258,-73.958557
W,METROPOLITAN AV,DRIGGS AV,40.714714,-73.959152
S,S 3 ST,BEDFORD AV,40.712349,-73.962471
W,BEDFORD AV,N 7 ST,40.717827,-73.957993
W,GRAND ST,BEDFORD AV,40.714436,-73.961525
SE,UNION AV,METROPOLITAN AV,40.713947,-73.951416
S,BEDFORD AV,N 4 ST,40.716053,-73.959518
N,BROADWAY,MARCY AV,40.708637,-73.958107
E,KENT AV,N 8 ST,40.720829,-73.960739
S,GRAND ST,BEDFORD AV,40.71431,-73.961212
W,BEDFORD AV,S 2 ST,40.7132,-73.962288
NW,BROADWAY,DRIGGS AV,40.710133,-73.962379
E,GRAND ST,DRIGGS AV,40.713875,-73.959427
S,BEDFORD AV,S 1 ST,40.713722,-73.961594
N,METROPOLITAN AV,DRIGGS AV,40.714973,-73.958878
W,BEDFORD AV,S 4 ST,40.711819,-73.963158
W,ROEBLING ST,S 1 ST,40.712769,-73.958885
E,DRIGGS AV,N 7 ST,40.716946,-73.956078
W,BEDFORD AV,N 4 ST,40.716152,-73.959702
S,N 9 ST,BEDFORD AV,40.718746,-73.956497
W,DRIGGS AV,N 7 ST,40.717087,-73.956787
